User,Date,Category,Amount,Type
103,2020-02-01,Food & Drink,1485.69,Expense
180,2020-02-01,Utilities,1475.58,Expense
93,2020-04-01,Rent,1185.08,Expense
15,2020-05-01,Investment,2291.0,Income
107,2020-02-02,Health & Fitness,333.68,Expense
72,2020-04-02,Travel,1406.62,Expense
189,2020-05-02,Rent,1222.17,Expense
21,2020-05-02,Investment,1838.0,Income
103,2020-07-02,Travel,1979.15,Expense
122,2020-07-02,Entertainment,1372.38,Expense
75,2020-08-02,Food & Drink,465.81,Expense
88,2020-08-02,Other,3786.0,Income
117,2020-09-02,Entertainment,1827.14,Expense
100,2020-11-02,Health & Fitness,433.13,Expense
104,2020-03-03,Rent,1742.33,Expense
152,2020-04-03,Entertainment,314.15,Expense
131,2020-04-03,Food & Drink,1201.9,Expense
150,2020-09-03,Rent,1858.91,Expense
53,2020-09-03,Travel,486.51,Expense
2,2020-11-03,Rent,180.45,Expense
88,2020-11-03,Rent,1956.19,Expense
158,2020-12-03,Utilities,265.5,Expense
38,2020-12-03,Utilities,537.46,Expense
130,2020-01-04,Travel,1341.27,Expense
192,2020-05-04,Utilities,1449.47,Expense
188,2020-06-04,Salary,493.56,Expense
21,2020-06-04,Shopping,388.92,Expense
161,2020-10-04,Other,3402.0,Income
58,2020-01-05,Travel,851.78,Expense
22,2020-03-05,Salary,318.05,Expense
89,2020-03-05,Food & Drink,1162.57,Expense
49,2020-05-05,Health & Fitness,123.76,Expense
59,2020-06-05,Utilities,123.19,Expense
170,2020-06-05,Utilities,146.36,Expense
188,2020-07-05,Investment,3807.0,Income
15,2020-11-05,Investment,825.0,Income
190,2020-12-05,Shopping,1318.17,Expense
190,2020-01-06,Food & Drink,193.67,Expense
175,2020-02-06,Travel,97.73,Expense
190,2020-05-06,Utilities,1277.86,Expense
51,2020-06-06,Salary,1107.84,Expense
108,2020-07-06,Food & Drink,232.63,Expense
55,2020-08-06,Utilities,1095.72,Expense
64,2020-09-06,Utilities,865.28,Expense
131,2020-09-06,Other,826.0,Income
51,2020-10-06,Entertainment,1367.31,Expense
135,2020-10-06,Health & Fitness,1562.43,Expense
21,2020-11-06,Shopping,1947.94,Expense
73,2020-11-06,Entertainment,1730.57,Expense
167,2020-12-06,Utilities,1764.02,Expense
18,2020-02-07,Entertainment,734.8,Expense
132,2020-03-07,Other,3071.0,Income
89,2020-04-07,Rent,1442.31,Expense
60,2020-05-07,Travel,1337.12,Expense
14,2020-06-07,Travel,1113.28,Expense
9,2020-06-07,Other,1925.0,Income
90,2020-08-07,Travel,818.09,Expense
53,2020-11-07,Travel,580.96,Expense
130,2020-12-07,Health & Fitness,935.33,Expense
84,2020-12-07,Entertainment,1027.24,Expense
92,2020-01-08,Travel,1533.97,Expense
111,2020-01-08,Entertainment,556.45,Expense
188,2020-01-08,Other,2420.0,Income
199,2020-02-08,Health & Fitness,1787.12,Expense
172,2020-03-08,Investment,2394.0,Income
8,2020-04-08,Utilities,1415.77,Expense
175,2020-04-08,Other,3210.0,Income
35,2020-04-08,Shopping,133.91,Expense
81,2020-05-08,Shopping,1810.63,Expense
164,2020-05-08,Food & Drink,1714.9,Expense
50,2020-06-08,Shopping,959.19,Expense
104,2020-08-08,Travel,1509.42,Expense
132,2020-08-08,Shopping,1081.06,Expense
2,2020-09-08,Entertainment,981.58,Expense
134,2020-01-09,Rent,1557.81,Expense
54,2020-05-09,Other,1385.0,Income
106,2020-05-09,Travel,1155.84,Expense
4,2020-06-09,Shopping,799.34,Expense
54,2020-07-09,Rent,1188.27,Expense
191,2020-08-09,Entertainment,212.78,Expense
146,2020-11-09,Rent,1594.49,Expense
44,2020-11-09,Food & Drink,700.94,Expense
162,2020-11-09,Health & Fitness,147.22,Expense
190,2020-01-10,Entertainment,619.35,Expense
14,2020-03-10,Salary,1111.41,Expense
95,2020-04-10,Health & Fitness,710.1,Expense
48,2020-07-10,Travel,510.29,Expense
15,2020-07-10,Investment,3084.0,Income
200,2020-07-10,Investment,2069.0,Income
190,2020-08-10,Salary,560.23,Expense
40,2020-08-10,Travel,1961.22,Expense
82,2020-10-10,Travel,462.69,Expense
111,2020-10-10,Investment,4875.0,Income
53,2020-10-10,Investment,946.0,Income
24,2020-12-10,Utilities,1279.36,Expense
154,2020-01-11,Entertainment,1848.58,Expense
188,2020-01-11,Entertainment,856.03,Expense
124,2020-02-11,Utilities,1817.74,Expense
41,2020-04-11,Rent,128.68,Expense
157,2020-06-11,Travel,883.92,Expense
15,2020-07-11,Travel,1402.47,Expense
45,2020-09-11,Salary,881.14,Expense
65,2020-10-11,Shopping,1471.72,Expense
89,2020-10-11,Food & Drink,191.74,Expense
71,2020-12-11,Food & Drink,1999.15,Expense
9,2020-12-11,Travel,1156.73,Expense
88,2020-01-12,Travel,836.83,Expense
129,2020-05-12,Salary,495.02,Expense
136,2020-05-12,Shopping,389.31,Expense
