User,Month,Expense,Income,Savings,SavingsRate,OverspendingIndex,RiskScore
1,2021-07,1576.09,0.0,-1576.09,-1576.09,1576.09,1103.663
1,2024-01,1037.84,0.0,-1037.84,-1037.84,1037.84,726.8879999999999
1,2024-06,419.1,0.0,-419.1,-419.1,419.1,293.77000000000004
2,2020-09,981.58,0.0,-981.58,-981.58,981.58,687.5060000000001
2,2020-11,180.45,0.0,-180.45,-180.45,180.45,126.715
2,2021-03,504.06,0.0,-504.06,-504.06,504.06,353.24199999999996
2,2022-11,1748.5,0.0,-1748.5,-1748.5,1748.5,1224.35
2,2024-06,1003.01,0.0,-1003.01,-1003.01,1003.01,702.5070000000001
3,2021-12,1770.41,0.0,-1770.41,-1770.41,1770.41,1239.6870000000001
3,2022-05,0.0,2607.0,2607.0,1.0,0.0,0.0
4,2020-06,799.34,0.0,-799.34,-799.34,799.34,559.938
4,2023-06,549.8,0.0,-549.8,-549.8,549.8,385.26
4,2024-05,1350.66,0.0,-1350.66,-1350.66,1350.66,945.8620000000001
5,2021-07,1176.9,0.0,-1176.9,-1176.9,1176.9,824.23
5,2021-08,348.27,0.0,-348.27,-348.27,348.27,244.189
5,2023-09,1672.11,0.0,-1672.11,-1672.11,1672.11,1170.877
6,2023-05,1956.01,2638.0,681.99,0.2585253980288097,0.7414746019711903,0.5190322213798332
7,2022-07,1830.33,0.0,-1830.33,-1830.33,1830.33,1281.6309999999999
8,2020-04,1415.77,0.0,-1415.77,-1415.77,1415.77,991.439
8,2022-05,864.17,0.0,-864.17,-864.17,864.17,605.319
8,2023-08,722.26,0.0,-722.26,-722.26,722.26,505.982
8,2023-09,64.63,0.0,-64.63,-64.63,64.63,45.641
9,2020-06,0.0,1925.0,1925.0,1.0,0.0,0.0
9,2020-12,1156.73,0.0,-1156.73,-1156.73,1156.73,810.1110000000001
9,2022-07,1321.98,0.0,-1321.98,-1321.98,1321.98,925.7860000000001
10,2024-07,1794.97,0.0,-1794.97,-1794.97,1794.97,1256.879
11,2022-02,832.98,0.0,-832.98,-832.98,832.98,583.4860000000001
12,2021-02,1935.09,0.0,-1935.09,-1935.09,1935.09,1354.963
12,2021-08,0.0,4203.0,4203.0,1.0,0.0,0.0
12,2024-02,39.3,0.0,-39.3,-39.3,39.3,27.91
12,2024-10,694.84,0.0,-694.84,-694.84,694.84,486.788
13,2021-06,878.08,0.0,-878.08,-878.08,878.08,615.056
13,2023-10,0.0,1365.0,1365.0,1.0,0.0,0.0
13,2024-04,0.0,3852.0,3852.0,1.0,0.0,0.0
14,2020-03,1111.41,0.0,-1111.41,-1111.41,1111.41,778.3870000000001
14,2020-06,1113.28,0.0,-1113.28,-1113.28,1113.28,779.6959999999999
15,2020-05,0.0,2291.0,2291.0,1.0,0.0,0.0
15,2020-07,1402.47,3084.0,1681.53,0.5452431906614786,0.4547568093385214,0.318329766536965
15,2020-11,0.0,825.0,825.0,1.0,0.0,0.0
15,2021-12,39.57,0.0,-39.57,-39.57,39.57,28.099000000000004
15,2023-09,692.04,0.0,-692.04,-692.04,692.04,484.828
16,2024-05,1113.56,0.0,-1113.56,-1113.56,1113.56,779.892
16,2024-08,616.34,0.0,-616.34,-616.34,616.34,431.8380000000001
17,2023-08,0.0,2812.0,2812.0,1.0,0.0,0.0
17,2023-09,108.77,0.0,-108.77,-108.77,108.77,76.539
18,2020-02,734.8,0.0,-734.8,-734.8,734.8,514.76
18,2023-10,126.6,0.0,-126.6,-126.6,126.6,89.02
19,2024-12,1386.72,0.0,-1386.72,-1386.72,1386.72,971.104
20,2023-07,695.06,0.0,-695.06,-695.06,695.06,486.94199999999995
21,2020-05,0.0,1838.0,1838.0,1.0,0.0,0.0
21,2020-06,388.92,0.0,-388.92,-388.92,388.92,272.644
21,2020-11,1947.94,0.0,-1947.94,-1947.94,1947.94,1363.958
21,2022-02,281.7,0.0,-281.7,-281.7,281.7,197.58999999999997
21,2023-03,0.0,4105.0,4105.0,1.0,0.0,0.0
22,2020-03,318.05,0.0,-318.05,-318.05,318.05,223.03500000000003
22,2022-09,984.02,0.0,-984.02,-984.02,984.02,689.2139999999999
22,2024-11,588.4,0.0,-588.4,-588.4,588.4,412.28
23,2024-07,195.45,0.0,-195.45,-195.45,195.45,137.21499999999997
23,2024-10,1554.53,0.0,-1554.53,-1554.53,1554.53,1088.571
24,2020-12,1279.36,0.0,-1279.36,-1279.36,1279.36,895.952
24,2022-06,1909.67,0.0,-1909.67,-1909.67,1909.67,1337.1689999999999
24,2023-05,1176.17,0.0,-1176.17,-1176.17,1176.17,823.719
24,2023-08,319.27,0.0,-319.27,-319.27,319.27,223.889
24,2024-05,0.0,3396.0,3396.0,1.0,0.0,0.0
25,2023-10,1536.02,0.0,-1536.02,-1536.02,1536.02,1075.614
26,2023-07,1669.88,0.0,-1669.88,-1669.88,1669.88,1169.316
27,2021-09,1975.18,0.0,-1975.18,-1975.18,1975.18,1383.026
27,2021-10,1425.69,0.0,-1425.69,-1425.69,1425.69,998.383
27,2022-07,0.0,508.0,508.0,1.0,0.0,0.0
27,2022-12,274.07,0.0,-274.07,-274.07,274.07,192.249
28,2021-06,1557.6100000000001,0.0,-1557.6100000000001,-1557.6100000000001,1557.6100000000001,1090.727
28,2021-10,472.06,0.0,-472.06,-472.06,472.06,330.842
28,2021-11,185.38,0.0,-185.38,-185.38,185.38,130.166
28,2023-06,1794.22,0.0,-1794.22,-1794.22,1794.22,1256.354
29,2021-04,1005.52,0.0,-1005.52,-1005.52,1005.52,704.264
29,2024-02,1038.16,0.0,-1038.16,-1038.16,1038.16,727.1120000000001
29,2024-11,1313.12,0.0,-1313.12,-1313.12,1313.12,919.5840000000001
30,2021-04,1939.48,0.0,-1939.48,-1939.48,1939.48,1358.036
30,2023-04,1259.88,0.0,-1259.88,-1259.88,1259.88,882.316
32,2023-04,1170.22,0.0,-1170.22,-1170.22,1170.22,819.5540000000001
32,2023-12,0.0,4491.0,4491.0,1.0,0.0,0.0
33,2021-05,290.11,0.0,-290.11,-290.11,290.11,203.47700000000003
33,2021-06,723.34,0.0,-723.34,-723.34,723.34,506.73800000000006
33,2022-03,1149.74,0.0,-1149.74,-1149.74,1149.74,805.2180000000001
33,2022-12,904.65,0.0,-904.65,-904.65,904.65,633.655
33,2024-04,0.0,4592.0,4592.0,1.0,0.0,0.0
33,2024-07,956.98,0.0,-956.98,-956.98,956.98,670.2860000000001
34,2024-02,1891.97,0.0,-1891.97,-1891.97,1891.97,1324.779
34,2024-07,1296.66,0.0,-1296.66,-1296.66,1296.66,908.0620000000001
35,2020-04,133.91,0.0,-133.91,-133.91,133.91,94.137
35,2021-02,0.0,4960.0,4960.0,1.0,0.0,0.0
35,2023-07,0.0,1478.0,1478.0,1.0,0.0,0.0
35,2024-11,121.52,0.0,-121.52,-121.52,121.52,85.464
36,2021-04,153.43,0.0,-153.43,-153.43,153.43,107.80100000000002
36,2023-05,0.0,2481.0,2481.0,1.0,0.0,0.0
37,2021-09,1173.27,0.0,-1173.27,-1173.27,1173.27,821.6890000000001
37,2022-06,0.0,4642.0,4642.0,1.0,0.0,0.0
37,2023-07,280.86,0.0,-280.86,-280.86,280.86,197.002
38,2020-12,537.46,0.0,-537.46,-537.46,537.46,376.622
38,2022-01,1765.47,0.0,-1765.47,-1765.47,1765.47,1236.229
38,2022-05,1792.56,0.0,-1792.56,-1792.56,1792.56,1255.192
39,2021-03,265.39,0.0,-265.39,-265.39,265.39,186.173
39,2022-09,1514.8,0.0,-1514.8,-1514.8,1514.8,1060.76
39,2023-05,0.0,1141.0,1141.0,1.0,0.0,0.0
39,2024-05,0.0,2157.0,2157.0,1.0,0.0,0.0
40,2020-08,1961.22,0.0,-1961.22,-1961.22,1961.22,1373.254
41,2020-04,128.68,0.0,-128.68,-128.68,128.68,90.476
41,2021-10,0.0,2472.0,2472.0,1.0,0.0,0.0
42,2021-02,1737.5,0.0,-1737.5,-1737.5,1737.5,1216.65
42,2022-06,1511.29,0.0,-1511.29,-1511.29,1511.29,1058.303
43,2023-02,1898.63,0.0,-1898.63,-1898.63,1898.63,1329.4410000000003
43,2024-03,62.47,0.0,-62.47,-62.47,62.47,44.129000000000005
44,2020-11,700.94,0.0,-700.94,-700.94,700.94,491.058
44,2021-11,666.08,0.0,-666.08,-666.08,666.08,466.65600000000006
44,2024-11,216.82,0.0,-216.82,-216.82,216.82,152.17399999999998
45,2020-09,881.14,0.0,-881.14,-881.14,881.14,617.198
45,2021-02,1915.87,0.0,-1915.87,-1915.87,1915.87,1341.509
46,2023-03,158.91,0.0,-158.91,-158.91,158.91,111.637
46,2023-08,1929.62,0.0,-1929.62,-1929.62,1929.62,1351.134
46,2024-06,932.73,0.0,-932.73,-932.73,932.73,653.311
47,2023-09,305.82,0.0,-305.82,-305.82,305.82,214.474
47,2024-04,978.85,0.0,-978.85,-978.85,978.85,685.595
48,2020-07,510.29,0.0,-510.29,-510.29,510.29,357.603
48,2021-08,1934.87,0.0,-1934.87,-1934.87,1934.87,1354.8089999999997
48,2022-01,1890.92,0.0,-1890.92,-1890.92,1890.92,1324.0439999999999
48,2022-03,824.18,0.0,-824.18,-824.18,824.18,577.326
48,2022-12,1009.41,0.0,-1009.41,-1009.41,1009.41,706.987
48,2023-02,1110.2,0.0,-1110.2,-1110.2,1110.2,777.54
48,2024-03,1920.67,0.0,-1920.67,-1920.67,1920.67,1344.8690000000001
49,2020-05,123.76,0.0,-123.76,-123.76,123.76,87.03200000000001
49,2023-08,1908.62,1868.0,-40.61999999999989,-0.02174518201284791,1.0217451820128478,0.7152216274089935
50,2020-06,959.19,0.0,-959.19,-959.19,959.19,671.8330000000001
50,2023-10,1714.68,0.0,-1714.68,-1714.68,1714.68,1200.676
51,2020-06,1107.84,0.0,-1107.84,-1107.84,1107.84,775.8879999999999
51,2020-10,1367.31,0.0,-1367.31,-1367.31,1367.31,957.5169999999999
51,2021-05,1600.69,0.0,-1600.69,-1600.69,1600.69,1120.883
51,2022-04,749.97,0.0,-749.97,-749.97,749.97,525.379
