Month,Amount
2020-01,10195.74
2020-02,7732.34
2020-03,4334.36
2020-04,7938.5199999999995
2020-05,10976.08
2020-06,7745.01
2020-07,6685.1900000000005
2020-08,7704.33
2020-09,6900.56
2020-10,7385.13
2020-11,10948.47
2020-12,12014.83
2021-01,2372.91
2021-02,9915.81
2021-03,2998.91
2021-04,8819.43
2021-05,5278.45
2021-06,8530.87
2021-07,11026.55
2021-08,9218.41
2021-09,13471.05
2021-10,4857.13
2021-11,11753.59
2021-12,6282.3
2022-01,15102.050000000001
2022-02,7636.139999999999
2022-03,7699.27
2022-04,9400.7
2022-05,11461.05
2022-06,8774.23
2022-07,9968.08
2022-08,6430.13
2022-09,8412.02
2022-10,8667.96
2022-11,2197.5
2022-12,9346.93
2023-01,7539.66
2023-02,4367.09
2023-03,3960.02
2023-04,10535.04
2023-05,9630.69
2023-06,4258.2699999999995
2023-07,7481.03
2023-08,11020.35
2023-09,7251.33
2023-10,11026.95
2023-11,11709.36
2023-12,3282.3199999999997
2024-01,7997.85
2024-02,11092.17
2024-03,7114.43
2024-04,4103.67
2024-05,4391.84
2024-06,8262.35
2024-07,8792.89
2024-08,4145.05
2024-09,3759.04
2024-10,8414.42
2024-11,7753.49
2024-12,5427.64
