User,Income,Expense,Savings,SavingsRate,OverspendingIndex,RiskScore,RiskLevel,Recommendation
103,2771.0,5616.72,-2845.7200000000003,-1.0269649945867918,2.026964994586792,1.8708298039338018,High,High spending - reduce discretionary expenses
180,2942.0,3021.6899999999996,-79.6899999999996,-0.02708701563562189,1.027087015635622,0.9010111755016561,Medium,Negative savings - increase income or cut costs
93,6280.0,2883.64,3396.36,0.5408216560509554,0.45917834394904455,0.47193362206878964,Low,Financially stable
15,6200.0,2134.08,4065.92,0.6557935483870968,0.3442064516129032,0.4448030022314745,Low,Financially stable
107,0.0,333.68,-333.68,0.0,0.0,0.8653584330550532,Medium,Financially stable
72,2856.0,1406.62,1449.38,0.5074859943977591,0.49251400560224085,0.9102260676997571,Medium,Financially stable
189,3211.0,2456.3500000000004,754.6499999999996,0.23502024291497964,0.7649797570850203,0.8828448266337225,Medium,Financially stable
21,5943.0,2618.56,3324.44,0.5593875147232038,0.4406124852767962,0.6996477807866164,Medium,Financially stable
122,0.0,3103.63,-3103.63,0.0,0.0,0.5490160428326917,Medium,Financially stable
75,0.0,4212.870000000001,-4212.870000000001,0.0,0.0,0.8503071442761794,Medium,Financially stable
88,3786.0,2793.02,992.98,0.26227680929741154,0.7377231907025885,0.9017098498705411,Medium,Financially stable
117,0.0,5072.3099999999995,-5072.3099999999995,0.0,0.0,0.5329306227002175,Medium,Financially stable
100,0.0,3319.68,-3319.68,0.0,0.0,0.3174218918993579,Low,Financially stable
104,1408.0,7814.27,-6406.27,-4.549907670454545,5.549907670454545,3.915777562747525,High,High spending - reduce discretionary expenses
152,0.0,3862.0499999999997,-3862.0499999999997,0.0,0.0,0.5411156686494717,Medium,Financially stable
131,2343.0,2926.82,-583.8200000000002,-0.2491762697396501,1.24917626973965,1.3817670666528243,High,Negative savings - increase income or cut costs
150,0.0,3759.55,-3759.55,0.0,0.0,0.9855281694535795,Medium,Financially stable
53,946.0,1489.27,-543.27,-0.5742811839323467,1.5742811839323467,1.2890494679435016,High,High spending - reduce discretionary expenses
2,0.0,4417.6,-4417.6,0.0,0.0,0.5933731437314551,Medium,Financially stable
158,880.0,2269.0,-1389.0,-1.5784090909090909,2.578409090909091,2.1321671891165708,High,High spending - reduce discretionary expenses
38,0.0,4095.49,-4095.49,0.0,0.0,0.6773855161003594,Medium,Financially stable
130,3186.0,6937.54,-3751.54,-1.1775078468298807,2.1775078468298807,1.9853985238614467,High,High spending - reduce discretionary expenses
192,0.0,2782.53,-2782.53,0.0,0.0,0.5703185955682923,Medium,Financially stable
188,10804.0,1541.1,9262.9,0.8573583857830432,0.14264161421695667,0.5646339417937836,Medium,Financially stable
161,7888.0,6590.1,1297.8999999999996,0.1645410750507099,0.8354589249492901,0.8119325021762662,Medium,Financially stable
58,6027.0,2843.14,3183.86,0.5282661357225817,0.47173386427741826,0.7759648614934782,Medium,Financially stable
22,0.0,1890.4699999999998,-1890.4699999999998,0.0,0.0,0.6207481218280058,Medium,Financially stable
89,591.0,2796.62,-2205.62,-3.7320135363790183,4.732013536379019,3.4647467531693517,High,High spending - reduce discretionary expenses
49,1868.0,2032.3799999999999,-164.37999999999988,-0.0879978586723768,1.0879978586723769,1.4190182433243723,High,Negative savings - increase income or cut costs
59,3509.0,123.19,3385.81,0.9648931319464235,0.03510686805357652,0.5125764384326015,Medium,Financially stable
170,0.0,2814.15,-2814.15,0.0,0.0,0.3165471942586713,Low,Financially stable
190,2384.0,7110.12,-4726.12,-1.9824328859060403,2.9824328859060403,2.273304532061961,High,High spending - reduce discretionary expenses
175,8191.0,1426.64,6764.36,0.8258283481870345,0.17417165181296546,0.637860954910505,Medium,Financially stable
51,0.0,6518.19,-6518.19,0.0,0.0,0.43562412044300985,Low,Financially stable
108,0.0,1828.64,-1828.64,0.0,0.0,0.8290918801903365,Medium,Financially stable
55,0.0,2800.94,-2800.94,0.0,0.0,0.8083674349796726,Medium,Financially stable
64,0.0,865.28,-865.28,0.0,0.0,0.5351268986673308,Medium,Financially stable
135,0.0,3771.3900000000003,-3771.3900000000003,0.0,0.0,0.6731928050365528,Medium,Financially stable
73,0.0,1730.57,-1730.57,0.0,0.0,0.2569526645596584,Low,Financially stable
167,0.0,1764.02,-1764.02,0.0,0.0,1.029042517599058,High,High financial risk - review budget immediately
18,0.0,861.4,-861.4,0.0,0.0,0.61313771244633,Medium,Financially stable
132,3071.0,1148.6799999999998,1922.3200000000002,0.625958971019212,0.37404102898078795,0.6975475448475176,Medium,Financially stable
60,0.0,5366.19,-5366.19,0.0,0.0,0.7977244825807992,Medium,Financially stable
14,0.0,2224.69,-2224.69,0.0,0.0,0.9465323719057119,Medium,Financially stable
9,1925.0,2478.71,-553.71,-0.2876415584415585,1.2876415584415584,1.0896446238142932,High,Negative savings - increase income or cut costs
90,9398.0,2161.42,7236.58,0.770012768674186,0.229987231325814,0.47671182171927745,Low,Financially stable
84,0.0,2530.99,-2530.99,0.0,0.0,0.7867780548086198,Medium,Financially stable
92,0.0,5258.15,-5258.15,0.0,0.0,0.8494645325718102,Medium,Financially stable
111,8520.0,556.45,7963.55,0.9346889671361502,0.06531103286384977,0.5515448049721938,Medium,Financially stable
199,0.0,3527.66,-3527.66,0.0,0.0,0.5794798681706501,Medium,Financially stable
